County Name,Cobb County ,DeKalb County ,Dougherty County ,Fulton County ,Gwinnett County ,Cobb_IncData,DeKalb_IncData,Dougherty_IncData,Fulton_IncData,Gwinnett_IncData
2020/3/1,0,0,0,0,0,0,0,0,0,0
2020/3/2,0,0,0,0,0,0,0,0,0,0
2020/3/3,0,0,0,2,0,0,0,0,2,0
2020/3/4,0,0,0,2,0,0,0,0,0,0
2020/3/5,0,0,0,2,0,0,0,0,0,0
2020/3/6,0,0,0,2,0,0,0,0,0,0
2020/3/7,1,0,0,3,0,1,0,0,1,0
2020/3/8,1,0,0,3,0,0,0,0,0,0
2020/3/9,4,2,0,5,2,3,2,0,2,2
2020/3/10,6,2,0,5,2,2,0,0,0,0
2020/3/11,8,4,0,6,2,2,2,0,1,0
2020/3/12,8,5,0,8,2,0,1,0,2,0
2020/3/13,8,5,0,8,2,0,0,0,0,0
2020/3/14,15,8,0,13,2,7,3,0,5,0
2020/3/15,19,10,6,20,4,4,2,6,7,2
2020/3/16,22,10,6,27,5,3,0,0,7,1
2020/3/17,25,15,6,33,7,3,5,0,6,2
2020/3/18,28,18,7,49,7,3,3,1,16,0
2020/3/19,37,22,20,66,12,9,4,13,17,5
2020/3/20,47,36,44,88,23,10,14,24,22,11
2020/3/21,50,41,47,99,23,3,5,3,11,0
2020/3/22,67,53,52,111,27,17,12,5,12,4
2020/3/23,79,74,69,152,35,12,21,17,41,8
2020/3/24,90,107,101,191,46,11,33,32,39,11
2020/3/25,109,125,123,204,69,19,18,22,13,23
2020/3/26,119,137,164,231,79,10,12,41,27,10
2020/3/27,163,219,203,347,121,44,82,39,116,42
2020/3/28,185,246,224,378,131,22,27,21,31,10
2020/3/29,228,273,247,425,145,43,27,23,47,14
2020/3/30,250,294,278,503,178,22,21,31,78,33
2020/3/31,287,360,466,599,242,37,66,188,96,64
2020/4/1,304,373,490,638,257,17,13,24,39,15
2020/4/2,341,409,521,747,303,37,36,31,109,46
2020/4/3,422,483,607,910,353,81,74,86,163,50
2020/4/4,453,539,685,959,400,31,56,78,49,47
2020/4/5,474,549,688,970,410,21,10,3,11,10
2020/4/6,517,600,722,1053,455,43,51,34,83,45
2020/4/7,566,673,973,1185,540,49,73,251,132,85
2020/4/8,608,732,1001,1261,586,42,59,28,76,46
2020/4/9,653,766,1042,1336,618,45,34,41,75,32
2020/4/10,681,826,1072,1417,669,28,60,30,81,51
2020/4/11,705,848,1102,1446,681,24,22,30,29,12
2020/4/12,728,893,1178,1495,701,23,45,76,49,20
2020/4/13,816,1006,1245,1635,766,88,113,67,140,65
2020/4/14,895,1144,1297,1812,815,79,138,52,177,49
2020/4/15,950,1225,1320,1902,885,55,81,23,90,70
2020/4/16,1014,1260,1358,1945,917,64,35,38,43,32
2020/4/17,1085,1366,1385,2037,1037,71,106,27,92,120
2020/4/18,1104,1408,1409,2065,1059,19,42,24,28,22
2020/4/19,1148,1473,1425,2131,1124,44,65,16,66,65
2020/4/20,1196,1520,1436,2198,1181,48,47,11,67,57
2020/4/21,1230,1563,1456,2206,1238,34,43,20,8,57
2020/4/22,1272,1609,1465,2255,1273,42,46,9,49,35
2020/4/23,1326,1689,1465,2436,1351,54,80,0,181,78
2020/4/24,1368,1721,1465,2500,1382,42,32,0,64,31
2020/4/25,1395,1788,1470,2543,1460,27,67,5,43,78
2020/4/26,1428,1800,1470,2545,1504,33,12,0,2,44
2020/4/27,1483,1855,1480,2680,1545,55,55,10,135,41
2020/4/28,1514,1885,1491,2720,1603,31,30,11,40,58
2020/4/29,1571,1966,1498,2766,1720,57,81,7,46,117
2020/4/30,1615,2023,1505,2808,1786,44,57,7,42,66
2020/5/1,1676,2068,1530,2889,1844,61,45,25,81,58
2020/5/2,1749,2145,1534,2925,1932,73,77,4,36,88
2020/5/3,1768,2181,1536,2978,1974,19,36,2,53,42