Date,weekNum,IncData
2019/1/5,1,0
2019/1/12,2,1
2019/1/19,3,0
2019/1/26,4,1
2019/2/2,5,5
2019/2/9,6,2
2019/2/16,7,3
2019/2/23,8,7
2019/3/2,9,3
2019/3/9,10,5
2019/3/16,11,2
2019/3/23,12,2
2019/3/30,13,6
2019/4/6,14,4
2019/4/13,15,2
2019/4/20,16,1
2019/4/27,17,2
2019/5/4,18,2
2019/5/11,19,4
2019/5/18,20,3
2019/5/25,21,7
2019/6/1,22,6
2019/6/8,23,0
2019/6/15,24,3
2019/6/22,25,2
2019/6/29,26,3
2019/7/6,27,7
2019/7/13,28,7
2019/7/20,29,5
2019/7/27,30,6
2019/8/3,31,4
2019/8/10,32,5
2019/8/17,33,0
2019/8/24,34,1